feature_name,mean_abs_shap
num__monthly_charges,0.11983714686676752
num__num_support_tickets,0.07931874162795098
num__total_charges,0.03548244824041309
cat__contract_type_Month-to-month,0.03534088108447328
num__tenure_months,0.02998225523838904
cat__contract_type_One year,0.02047071881169554
cat__location_New York,0.016750927503308782
cat__payment_method_Credit card,0.0156866710371599
num__age,0.013981069568521475
cat__payment_method_Electronic check,0.012452859353485625
cat__gender_Female,0.00541978093958565
cat__location_Los Angeles,0.004239901807793392
cat__contract_type_Two year,0.0038549025834215445
cat__payment_method_Bank transfer,0.003022518398775069
num__annual_revenue,0.0013006448594180325
cat__payment_method_Mailed check,0.001231487529125601
cat__gender_Male,3.40582013868025e-05
cat__location_Houston,1.349790260754588e-05
cat__location_Chicago,0.0
cat__location_Phoenix,0.0
